Name,Political party,href,True,Mostly True,Half True,Mostly False,False,Pants on Fire
Trebor Banstetter,None,https://www.politifact.com/personalities/trebor-banstetter/,1,1,0,0,0,0
 Ban the Box RI,Organization,https://www.politifact.com/personalities/ban-the-box-ri/,1,0,0,0,0,0
Justin Barasky,Democrat,https://www.politifact.com/personalities/justin-barasky/,0,0,0,0,0,1
William Barber,Activist,https://www.politifact.com/personalities/william-barber/,0,1,0,0,1,0
Robert Barber,Newsmaker,https://www.politifact.com/personalities/robert-barber/,0,0,0,0,1,0
Rick Barber,Republican,https://www.politifact.com/personalities/rick-barber/,0,0,0,0,0,1
Haley Barbour,Republican,https://www.politifact.com/personalities/haley-barbour/,0,0,0,1,1,0
Peter Barca,Democrat,https://www.politifact.com/personalities/peter-barca/,0,3,2,0,3,1
Kedron Bardwell,"None
 

",https://www.politifact.com/personalities/kedron-bardwell/,0,1,0,0,0,0
John Barge,Republican,https://www.politifact.com/personalities/john-barge/,0,1,0,0,0,0
George Barker,Democrat,https://www.politifact.com/personalities/george-barker/,1,0,0,1,0,0
Jim Barksdale,Democrat,https://www.politifact.com/personalities/jim-barksdale/,0,0,2,0,0,0
Lou Barletta,Republican,https://www.politifact.com/personalities/lou-barletta/,0,0,0,2,0,0
Roy Barnes,Democrat,https://www.politifact.com/personalities/roy-barnes/,0,3,3,0,0,1
Mandela Barnes,Democrat,https://www.politifact.com/personalities/mandela-barnes/,3,2,1,2,0,0
Sharon Barnes Sutton,Democrat,https://www.politifact.com/personalities/sharon-barnes-sutton/,0,0,0,0,0,0
Kathy Barnette,Republican,https://www.politifact.com/personalities/kathy-barnette/,0,1,0,0,1,1
Bob Barr,Libertarian,https://www.politifact.com/personalities/bob-barr/,1,1,0,0,0,0
William Barr,Republican,https://www.politifact.com/personalities/william-barr/,0,0,0,1,3,1
John Barrasso,Republican,https://www.politifact.com/personalities/john-barrasso/,1,0,0,1,0,0
Vincent Barrella,Independent,https://www.politifact.com/personalities/vincent-barrella/,0,1,0,0,0,0
Tom Barrett,Republican,https://www.politifact.com/personalities/tom-barrett/,0,0,0,0,0,0
Jimmy Barrett,None,https://www.politifact.com/personalities/jimmy-barrett/,1,0,0,0,0,0
Tom Barrett,Democrat,https://www.politifact.com/personalities/tom-barrett/,0,0,0,0,0,0
Gonzalo Barrientos,Democrat,https://www.politifact.com/personalities/gonzalo-barrientos/,0,1,0,0,0,0
John Barrow,Democrat,https://www.politifact.com/personalities/john-barrow/,0,1,1,0,0,0
Maria Bartiromo,Journalist,https://www.politifact.com/personalities/maria-bartiromo/,0,0,0,2,2,0
Joe Barton,Republican,https://www.politifact.com/personalities/joe-barton/,1,0,0,3,1,0
Brent Barton,Democrat,https://www.politifact.com/personalities/brent-barton/,0,0,0,1,0,0
David Barton,Republican,https://www.politifact.com/personalities/david-barton/,0,2,1,1,0,0
Jeff Bartos,Republican,https://www.politifact.com/personalities/jeff-bartos/,0,0,0,1,0,0
Dana Bash,None,https://www.politifact.com/personalities/dana-bash/,0,1,0,0,0,0
 Basic Rights Oregon,Democrat,https://www.politifact.com/personalities/basic-rights-oregon/,0,0,0,0,1,0
Karen Bass,Democrat,https://www.politifact.com/personalities/karen-bass/,0,0,1,0,0,0
Charles Bass,Republican,https://www.politifact.com/personalities/charles-bass/,0,0,0,3,2,0
Sydney Batch,Democrat,https://www.politifact.com/personalities/sydney-batch/,0,0,0,0,2,0
William G. Batchelder,Republican,https://www.politifact.com/personalities/bill-batchelder/,2,1,1,0,1,3
Raymond Bateman,Republican,https://www.politifact.com/personalities/raymond-bateman/,1,0,0,0,1,0
Alan Bates,Democrat,https://www.politifact.com/personalities/alan-bates/,1,0,0,0,0,0
Mark Batinick,Republican,https://www.politifact.com/personalities/mark-batinick/,0,0,0,0,1,0
 Battleground Texas,Democrat,https://www.politifact.com/personalities/battleground-texas/,1,1,0,0,0,0
Kurt Bauer,None,https://www.politifact.com/personalities/kurt-bauer/,0,0,1,1,0,0
Jon “Bowzer” Bauman,None,https://www.politifact.com/personalities/jon-bowzer-bauman/,0,0,0,1,0,0
Dennis Baxley,Republican,https://www.politifact.com/personalities/dennis-baxley/,0,0,1,1,0,0
Tim Baxter,Republican,https://www.politifact.com/personalities/tim-baxter/,0,0,0,0,1,0
Evan Bayh,Democrat,https://www.politifact.com/personalities/evan-bayh/,1,0,0,0,0,0
Angela Bean,Republican,https://www.politifact.com/personalities/angela-bean/,0,0,0,1,0,0
Jason Beardsley,Republican,https://www.politifact.com/personalities/jason-beardsley/,0,0,0,0,0,0
 Bear Education and Resource Group,None,https://www.politifact.com/personalities/bear-education-and-resource-group/,0,0,0,0,0,1
Cheri Beasley,Democrat,https://www.politifact.com/personalities/cheri-beasley/,0,0,1,1,0,0
Chaz Beasley,Democrat,https://www.politifact.com/personalities/chaz-beasley/,0,1,0,0,0,0
Joyce Beatty,Democrat,https://www.politifact.com/personalities/joyce-beatty/,0,1,0,1,0,0
Heather Beaven,Democrat,https://www.politifact.com/personalities/heather-beaven/,0,0,1,0,0,0
